Stop_Code_LBSL,Stop_Name,Location_Easting,Location_Northing,Latitude,Longitude,Heading,Sms_Code,Stop_Area,Virtual_Bus_Stop
10297,ST SAVIOUR'S CHURCH,536738,187903,51.57291498,-0.026645511,153,56388,YA04,0
1030,BARNES STATION #,522211,175652,51.46613732,-0.240430743,217,72331,M401,0
10300,QUEENS ROAD,536609,188269,51.57623552,-0.028363646,356,59406,YA03,0
10302,MARKHOUSE AVENUE,536560,188526,51.57855707,-0.028970454,347,71309,YA02,0
10303,MARKHOUSE AVENUE,536578,188491,51.57823816,-0.028724431,167,56071,YA02,0
10308,HAZELWOOD ROAD,536257,188881,51.58182082,-0.033203236,318,54143,YH12,0
10309,WALTHAMSTOW MARKET,536302,188834,51.58138755,-0.032572345,156,74646,YH12,0
1031,BARNES STATION #,522238,175701,51.46657191,-0.240025251,39,55951,M401,0
10313,LONGFIELD AVENUE,536069,189104,51.58387037,-0.035828761,165,58587,YH11,0
10316,BLACKHORSE ROAD STATION <> #,535855,189345,51.5860879,-0.038822646,348,50920,YH10,0
10317,BLACKHORSE ROAD STATION <> #,535861,189367,51.58628417,-0.03872757,166,73411,YH10,0
10318,BLENHEIM ROAD,535857,189755,51.58977213,-0.038635073,351,54906,YG03,0
10319,FOREST ROAD,535864,189465,51.58716419,-0.038646352,205,48960,YH09,0
10320,FOREST ROAD,535867,189518,51.58763978,-0.038582553,20,55452,YH09,0
10321,BLENHEIM ROAD,535904,189660,51.58890702,-0.037993755,165,77849,YG04,0
10324,WALTHAM FOREST COLLEGE,535857,190128,51.59312432,-0.038490647,9,55434,YG02,0
10325,PRIESTLEY WAY,535886,189904,51.59110421,-0.038158963,190,52834,YG03,0
10327,WALTHAM FOREST COLLEGE,535873,190136,51.59319236,-0.038256686,183,77138,YG02,0
10328,CLARENCE ROAD,535784,190307,51.59475061,-0.039474679,347,49402,YG01,0
10330,LAWRENCE AVENUE,535912,190708,51.59832356,-0.037472334,89,75429,Y510,0
10331,WORCESTER ROAD,535770,190461,51.596138,-0.039617087,165,76183,Y511,0
10333,LAWRENCE AVENUE,535956,190699,51.59823205,-0.036840878,269,53754,Y510,0
10334,HIGHAM HILL ROAD,536098,190735,51.59852129,-0.034777774,79,56904,Y509,0
10337,HIGHAM HILL ROAD,536108,190722,51.59840204,-0.034638513,259,56118,Y509,0
10338,GUILDSWAY,536614,190824,51.5991962,-0.027296937,87,48643,Y507,0
10340,NORTH COUNTESS ROAD,536822,190825,51.59915469,-0.024294953,88,74874,Y506,0
10341,GUILDSWAY,536583,190813,51.59910486,-0.027748574,266,76593,Y507,0
10342,WALTHAMSTOW ACADEMY,537012,190868,51.59949493,-0.02153632,67,75441,Y505,0
10343,NORTH COUNTESS ROAD,536782,190809,51.59902061,-0.024878422,265,75778,Y506,0
10345,WALTHAMSTOW ACADEMY,537028,190857,51.59939218,-0.021309725,246,57148,Y505,0
10347,CECIL ROAD,537174,190909,51.59982396,-0.019182495,259,49767,Y504,0
10351,KAYWOOD CLOSE,499482,179165,51.5021714,-0.566565675,131,74998,6Z14,0
10352,BANK STATION <> / POULTRY,532518,181152,51.51324874,-0.090052685,102,74860,1401,0
10359,ERITH FIRE STATION,549767,178438,51.48455087,0.157221712,63,55458,E513,0
10360,ERITH FIRE STATION,549808,178442,51.48457596,0.157813517,246,56127,E513,0
10362,BEULAH SPA,532748,170084,51.41372046,-0.090896432,152,56616,HR06,0
10363,BEULAH SPA,532719,170115,51.41400587,-0.091301638,332,58665,HR06,0
10364,AVENUE ROAD,527416,183348,51.53415995,-0.162750642,48,53488,8G04,0
10365,AVENUE ROAD,527511,183406,51.53465979,-0.161360558,235,73092,8G04,0
1037,STAMFORD BROOK BUS GARAGE,521636,178587,51.49264198,-0.247694357,77,53342,NG02,0
1038,STAMFORD BROOK BUS GARAGE,521620,178568,51.49247464,-0.247931288,257,71601,NG02,0
1039,CHISWICK POLICE STATION,520905,178487,51.49189996,-0.258254262,266,51237,NG04,0
104,FENCHURCH STREET STATION #,533329,180989,51.51159295,-0.078432662,243,59457,1007,0
1040,CLIFTON GARDENS,520773,178494,51.4919911,-0.260152502,90,76767,NG05,0
1041,ST ANN'S ROAD,531763,188697,51.58123591,-0.098101648,351,77336,9A13,0
1042,ST ANN'S ROAD,531756,188835,51.58247781,-0.098150835,172,52990,9A13,0
1043,PHILIP LANE,533739,189444,51.5874839,-0.069312284,13,58527,9D01,0
10439,WOOLWICH ROAD / GALLIONS ROAD,540897,178446,51.48690255,0.029551647,261,55159,GP05,0
1045,SADLER'S WELLS THEATRE,531476,182834,51.52860929,-0.10443417,211,52812,C110,0
10458,ST MARY OF ETON CHURCH,536695,184772,51.54478684,-0.028483181,176,52726,DE01,0
10459,ST MARY OF ETON CHURCH,536683,184824,51.54525708,-0.028635941,355,76775,DE01,0
1046,SADLER'S WELLS THEATRE,531467,182843,51.52869227,-0.104560491,31,54519,C110,0
10460,HESA ROAD,510501,180922,51.51591782,-0.407305046,25,72310,P102,0
10462,THE GRAPES,510673,181129,51.51774486,-0.404761959,208,77778,P103,0
10464,FORTUNE GREEN,525100,185526,51.55425382,-0.195353302,356,71195,8B13,0
10465,WEST HAMPSTEAD POLICE STATION,525220,185397,51.55306774,-0.19366909,129,71434,8B12,0
10468,LEA BRIDGE ROAD / BAKERS ARMS,537871,188255,51.57580241,-0.010166848,32,73028,YD02,0
10469,LEA BRIDGE ROAD / BAKERS ARMS,537843,188198,51.575297,-0.01059307,220,77513,YD02,0
1047,THE OLD VIC,531368,179740,51.50082689,-0.107143659,143,55837,4304,0
1048,THE OLD VIC,531345,179734,51.50077831,-0.107477101,323,50694,4304,0
1049,GUNNERSBURY STATION <> #,519799,178464,51.4919287,-0.27418719,81,58644,NF07,0
1051,ALPHA CLOSE,527451,182506,51.52658429,-0.162551025,313,73188,0T05,0
1052,ROSSMORE ROAD,527604,182407,51.52565994,-0.16038233,126,49244,0T04,0
1054,DEAN STREET / CHINATOWN,529797,180925,51.51184032,-0.12933062,237,54965,0C06,0
1057,HOLBORN STATION <>,530640,181536,51.51713744,-0.116961623,252,71271,8016,0
10580,MONTPELIER ROAD,517584,181651,51.52104032,-0.305018265,153,48232,QS08,0
1059,NAPIER PLACE,524584,179096,51.49657489,-0.205067466,315,49218,7901,0
106,SOUTHWARK TOWN HALL,533283,176714,51.47318239,-0.080709896,269,76770,3P06,0
1061,NORLAND SQUARE,524330,180094,51.50560095,-0.208373213,69,47857,7706,0
1062,HOLLAND PARK STATION <>,524595,180195,51.50645037,-0.204520821,244,51009,7801,0
1063,EDITH GROVE,526132,177655,51.48327985,-0.183291784,43,74899,7F15,0
1064,FULHAM ROAD / CHELSEA & WESTMINSTER HOSP,526146,177729,51.48394184,-0.183063808,140,53729,7F03,0
1065,EDITH GROVE,526212,177722,51.4838642,-0.182116198,228,74282,7F15,0
1067,FULHAM ROAD / BEAUFORT STREET,526562,178085,51.48704861,-0.176947601,42,74955,7F17,0
1069,OLD CHURCH STREET,526724,178261,51.4885942,-0.17455217,41,48108,7C03,0
10690,SPUR ROAD / ORPINGTON WAR MEMORIAL,546166,165873,51.3725771,0.100206125,273,52589,F707,0
10694,PRATTS BOTTOM / SEVENOAKS ROAD,547131,162667,51.34351679,0.112735383,186,73356,F421,0
107,HYDE PARK CORNER STATION <>,528274,179818,51.50223871,-0.151670892,250,49574,0J05,0
1070,OLD CHURCH STREET,526702,178215,51.48818568,-0.174885418,221,74835,7C03,0
10705,SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL,546076,165793,51.37188134,0.098880993,11,52614,F706,0
1071,ONSLOW SQUARE,526985,178620,51.49176231,-0.170665374,322,49984,7C05,0
10715,VILLAGE GREEN ROAD,552042,175069,51.45366999,0.188515392,74,75702,EE11,0
10716,THE RISE,551968,175037,51.4534023,0.18743731,253,57226,EE12,0
10717,STANHAM PLACE,552394,175129,51.4541145,0.193603998,84,49819,EE10,0
10719,THE JOLLY FARMERS OPEN SPACE,552522,175146,51.45423278,0.195452346,244,75082,EE09,0
1072,ONSLOW SQUARE,526989,178635,51.49189623,-0.170602384,142,52470,7C05,0
10720,MILL PLACE,552615,175256,51.45519618,0.196837429,27,51040,EE09,0
10721,PERRY STREET,551584,176098,51.46303945,0.182369155,269,49603,EE19,0
10722,PERRY STREET,551617,176107,51.46311148,0.182847748,89,55185,EE19,0
10723,EVERSLEY CROSS,551316,176093,51.46306624,0.178511594,269,52503,ED11,0
10724,EVERSLEY CROSS,551278,176101,51.46314829,0.177968353,89,56047,ED11,0
10725,NORTHALL ROAD / MANOR WAY,550463,176129,51.46361718,0.166255655,274,77759,ED08,0
10726,PARKSIDE AVENUE / MANOR WAY,550723,176098,51.46326942,0.169982842,90,77451,ED09,0
10729,BRIDGE ROAD / NORTHEND ROAD,551712,176489,51.46651868,0.18437837,250,75645,E105,0
1073,PENTON STREET,531073,183104,51.53112964,-0.110140543,81,76752,C007,0
1074,PENTON STREET / CHAPEL MARKET,531164,183107,51.53113546,-0.108828122,258,49357,C007,0
1075,GUILFORD STREET,530828,182245,51.52346613,-0.113990096,323,56776,8801,0
1076,GUILFORD STREET,530787,182322,51.52416767,-0.114552215,143,54383,8801,0
1077,KENTISH TOWN STATION <> #,528990,185246,51.5508611,-0.139371661,335,71366,8K08,0
1078,KENTISH TOWN STATION <> #,529012,185118,51.54970564,-0.139101453,185,75430,8K08,0
10794,COOMBE ROAD,532621,164939,51.36750851,-0.094644108,171,73705,HC28,0
10795,COOMBE ROAD,532608,164915,51.36729584,-0.094839721,354,56718,HC28,0
10797,BIRDHURST GARDENS,533054,164687,51.36514231,-0.088521272,31,49354,HE09,0
10798,BIRDHURST ROAD / SOUTH CROYDON STATION #,533039,164261,51.36131706,-0.088896052,114,72199,HE11,0
10799,BIRDHURST ROAD / SOUTH CROYDON STATION #,532948,164290,51.36159901,-0.090191643,290,55814,HE11,0
1080,NEWINGTON GREEN,532820,185381,51.55118565,-0.084107241,14,47253,CA02,0
10804,CARLTON ROAD,532947,163532,51.35478655,-0.090489377,176,54305,HE26,0
10806,TWIN BRIDGES BUSINESS PARK,532935,163608,51.35547243,-0.090633225,303,51493,HE25,0
10807,CARLTON ROAD,533012,163573,51.35513983,-0.08954101,119,74493,HE25,0
10808,CROHAM ROAD,532663,164229,51.3611174,-0.094306015,344,77760,HD10,0
1081,ALBION ROAD,532793,185469,51.55198289,-0.084463246,126,77826,CA02,0
10811,ELECTRIC HOUSE,532519,165679,51.37418325,-0.095832706,333,59436,HC12,0
10813,WHITGIFT CENTRE,532444,165831,51.37556689,-0.096853079,335,48143,HC11,0
10814,WHITGIFT CENTRE,532432,165928,51.3764415,-0.09698925,155,75479,HC11,0
10816,PURLEY WAY / WADDON STATION #,530973,164850,51.36709112,-0.118339795,263,76006,H901,0
10817,PURLEY WAY / WADDON STATION #,530956,164861,51.3671939,-0.118579836,83,52173,H901,0
1082,GREEN LANES,532855,185470,51.55197728,-0.083569057,193,49943,CA11,0
10820,PURLEY OAKS STATION #,532396,162905,51.3492799,-0.09863202,207,53062,H403,0
10821,PURLEY OAKS STATION #,532321,162781,51.34818288,-0.099754589,27,72161,H403,0
10824,PURLEY / DOWNLANDS PRECINCT,531352,161707,51.33875474,-0.114058515,227,75325,H511,0
10825,CHRISTCHURCH ROAD / PURLEY HOSPITAL,531508,161865,51.34013875,-0.111761618,48,56739,H513,0
10828,COOMBE ROAD,532424,164816,51.36644899,-0.097518541,3,49076,HC20,0
10829,COOMBE ROAD,532415,164953,51.36768241,-0.097596725,164,50432,HC21,0
1083,LIVERPOOL ROAD,531119,185283,51.55070281,-0.108665766,137,58305,C702,0
10833,PASTEUR GARDENS,532570,192128,51.61188219,-0.085163465,346,71688,U502,0
10834,PASTEUR GARDENS,532599,192130,51.61189333,-0.084744085,167,57879,U502,0
10835,EMPIRE PARADE,532644,191812,51.60902476,-0.084214848,353,48321,U501,0
10836,EMPIRE PARADE,532674,191766,51.60860428,-0.083799229,177,49187,U501,0
10839,CHURCH HILL ROAD,523483,164970,51.36984803,-0.22584819,323,76029,JC08,0
1084,LIVERPOOL ROAD,531145,185230,51.55022043,-0.10831071,319,49908,C702,0
10840,CHURCH HILL ROAD,523534,164918,51.36936954,-0.225133897,142,49495,JC08,0
10852,PARK AVENUE,530550,190781,51.60024818,-0.114824749,297,47321,9712,0
10856,ALLIANCE ROAD,519612,182238,51.5258906,-0.275599292,276,75436,Q403,0
10860,SOUTHWOOD AVENUE,528783,187935,51.57507626,-0.1413705,147,76955,9109,0
10864,HARINGEY CIVIC CENTRE,530894,190703,51.59946731,-0.10988932,346,48609,9705,0
10866,HARINGEY CIVIC CENTRE,530910,190702,51.5994546,-0.109658789,166,47410,9705,0
10868,CANNING CRESCENT,530852,190905,51.60129254,-0.110420073,162,74928,9706,0
1087,CLAPHAM SOUTH STATION <>,528750,174295,51.45249068,-0.146829326,85,71108,5912,0
10871,BERKSHIRE GARDENS,530955,191645,51.6079193,-0.108657162,193,50921,U601,0
10872,BERKSHIRE GARDENS,530958,191728,51.60866456,-0.10858285,9,57424,U601,0
10875,TOTTENHALL ROAD,531004,191963,51.6107659,-0.10783103,182,48450,U602,0
10878,BROOMFIELD LANE,530970,192377,51.61449461,-0.108167099,2,71522,U604,0
10879,BROOMFIELD LANE,530985,192396,51.61466188,-0.107943452,182,51198,U604,0
1088,CLAPHAM SOUTH STATION <>,528741,174281,51.45236689,-0.146963891,265,72201,5912,0
10880,PALMERS GREEN / THE TRIANGLE,530996,192606,51.61654668,-0.107706139,6,53256,U605,0
10881,LODGE DRIVE,531110,192821,51.61845242,-0.105979868,26,47221,U606,0
10883,FOX LANE,531172,192966,51.61974115,-0.105030446,19,75172,U607,0
10885,FOX LANE,531220,193067,51.62063769,-0.104299589,199,71425,U607,0
10888,ST MONICA'S CHURCH,531418,193381,51.62341352,-0.101323009,62,55929,U701,0
10889,BOURNE HILL,531317,193285,51.62257431,-0.102817351,212,54829,U608,0
1089,PARK HILL,529734,175050,51.45905181,-0.132397133,329,77905,4J08,0
10890,MEADOWCROFT ROAD,531553,193486,51.62432564,-0.099334293,43,77107,U702,0
10893,MEADOWCROFT ROAD,531591,193506,51.6244965,-0.098778083,226,73261,U702,0
109,HYDE PARK CORNER STATION <>,528237,179804,51.50212127,-0.152208826,252,54653,0J05,0
10900,STATION ROAD,531839,194173,51.630433,-0.094945971,32,58337,U705,0
10901,BOSTON MANOR STATION <>,516433,178756,51.49525672,-0.322558432,119,77062,N909,0
10905,GREEN DRAGON LANE,532191,194766,51.63567986,-0.089638711,29,73276,UR01,0
10906,GREEN DRAGON LANE,532153,194688,51.63498778,-0.090216993,222,77534,UR01,0
10910,SOLNA ROAD,532507,194733,51.63530892,-0.085087268,277,54424,UR02,0
10911,SOLNA ROAD,532550,194744,51.63539765,-0.084462065,92,47899,UR02,0
10913,CONIFER GARDENS,532964,195151,51.63895773,-0.078328145,7,48192,UR04,0
10914,CONIFER GARDENS,532967,195058,51.63812121,-0.078320154,191,55466,UR04,0
10919,BUSH HILL,532867,195683,51.64376186,-0.079527157,322,54532,UR06,0
10920,BUSH HILL,532894,195664,51.64358473,-0.07914435,146,48796,UR06,0
10921,PARK CRESCENT,532929,195952,51.64616477,-0.078529317,31,58127,US08,0
10922,PARK CRESCENT,532914,195903,51.64572794,-0.078764629,210,48464,US08,0
10925,CECIL ROAD / ST ANNES SCHOOL,532919,196301,51.64930368,-0.078541136,352,57907,US09,0
10926,CECIL ROAD / ST ANNES SCHOOL,532940,196217,51.64854378,-0.078269679,172,71466,US09,0
10927,ENFIELD TOWN / GENOTIN ROAD,532962,196510,51.65117183,-0.07784044,166,73979,US05,0
10928,ENFIELD TOWN / CHURCH STREET,532680,196565,51.65173277,-0.081893827,92,71168,US07,0
10942,TOTTENHAM POLICE STATION,533778,189713,51.58989221,-0.068647068,5,56465,9D02,0
10944,PHILIP LANE,533758,189438,51.58742547,-0.069040449,192,57427,9D01,0
10946,TOTTENHAM TOWN HALL,533726,189315,51.58632763,-0.069548993,193,52921,9H05,0
10948,WOOD GREEN CROWN COURT,531425,190570,51.59814831,-0.102276034,63,49881,9703,0
1095,CIRENCESTER STREET,525527,181772,51.52041816,-0.190535726,316,54273,0P06,0
10951,WOOD GREEN CROWN COURT,531379,190534,51.59783549,-0.102953348,243,58611,9703,0
10952,PERTH ROAD,531675,190686,51.59913245,-0.098624721,80,51168,9806,0
10953,PERTH ROAD,531570,190636,51.59870762,-0.100158772,245,71327,9807,0
10954,GLADSTONE AVENUE,531934,190573,51.59805626,-0.094929516,117,48516,9804,0
10955,MORLEY AVENUE,531811,190625,51.5985524,-0.096684985,298,72923,9805,0
10957,GLADSTONE AVENUE,532006,190523,51.59759002,-0.093909305,282,52472,9803,0
10958,WESTBURY AVENUE / LORDSHIP LANE,532130,190543,51.59774068,-0.09211235,94,47653,9802,0
1096,CIRENCESTER STREET,525538,181783,51.52051458,-0.190373327,136,56406,0P06,0
10960,THE ROUNDWAY / WEST ARM,532303,190512,51.59742146,-0.089627508,272,76270,9801,0
10961,THE ROUNDWAY / WEST ARM,532280,190532,51.59760661,-0.089951873,93,47555,9801,0
10962,WALTHEOF AVENUE,532613,190519,51.59741146,-0.085151344,90,77637,9C06,0
10963,WALTHEOF AVENUE,532521,190507,51.59732527,-0.086483503,269,73325,9C06,0
10966,AWLFIELD AVENUE,532949,190539,51.59751199,-0.080295062,83,59483,9C05,0
10967,AWLFIELD AVENUE,532866,190518,51.59734284,-0.081500764,264,53573,9C05,0
10968,MOUNT PLEASANT ROAD,533207,190579,51.59781052,-0.076556761,85,55537,9C03,0
10969,MOUNT PLEASANT ROAD,533064,190545,51.59753875,-0.078633259,256,48951,9C04,0
10972,THE ROUNDWAY / EAST ARM,533370,190596,51.59792472,-0.074198088,257,71335,9C02,0
10973,BRUCE CASTLE PARK,533460,190563,51.59760682,-0.072911877,142,47712,9C01,0
10974,ELMHURST ROAD,533634,190345,51.59560634,-0.070484,140,48872,9D12,0
10975,ELMHURST ROAD,533568,190408,51.59618819,-0.071412392,321,57437,9D12,0
10978,BRUCE GROVE STATION #,533768,190175,51.5940467,-0.068615208,141,56851,9D11,0
10979,BRUCE GROVE STATION #,533730,190204,51.59431635,-0.069152473,321,47838,9D11,0
1098,PARNELL ROAD,536803,183711,51.53522535,-0.02733897,259,76060,BD09,0
1099,PARNELL ROAD,536776,183718,51.5352948,-0.027725335,80,53591,BD09,0
110,CATFORD ROAD / LEWISHAM TOWN HALL,537627,173609,51.444237,-0.019404001,273,55572,2L06,0
1100,BOUNDS GREEN STATION <>,530034,191581,51.60755758,-0.121974902,13,48132,9614,0
1101,BOUNDS GREEN STATION <>,530032,191524,51.60704576,-0.122024914,193,74696,9614,0
1103,TAVISTOCK SQUARE,529953,182340,51.52452201,-0.126561724,144,75945,8401,0
1104,PARSONS GREEN LANE / FULHAM LIBRARY,524988,176951,51.47720626,-0.200009477,25,56086,6J04,0
1105,PARSONS GREEN LANE / FULHAM LIBRARY,524944,176870,51.47648794,-0.200671453,235,77928,6J04,0
1106,MUNSTER ROAD,524590,176518,51.47340221,-0.205890901,32,71721,6H09,0
1107,MUNSTER ROAD,524585,176491,51.47316063,-0.205972386,216,50175,6H09,0
1108,HERNE HILL ROAD,532535,175181,51.4595802,-0.092049643,35,50075,3Q03,0
1109,HERNE HILL ROAD,532481,175073,51.45862218,-0.092867023,212,72686,3Q03,0
11093,THE GREEN,505301,190561,51.60355865,-0.479337967,123,72123,PL01,0
11094,MERLE AVENUE,505161,190399,51.60212857,-0.481407544,209,73783,PL13,0
11097,SHRUBS ROAD,506702,191541,51.61210419,-0.458815494,65,74068,PK03,0
11098,SHRUBS ROAD,506674,191513,51.61185781,-0.459228287,245,48567,PK03,0
1111,MIDDLETON ROAD,533501,184236,51.54073438,-0.074724468,183,73082,D403,0
11116,MYDDELTON ROAD,530424,189323,51.5871736,-0.117185201,74,48485,9305,0
11118,ARDLEIGH GREEN SCHOOL,553943,189692,51.58455453,0.222245514,15,76368,VK01,0
11119,ARDLEIGH GREEN SCHOOL,553945,189641,51.58409572,0.222251996,186,50087,VK01,0
11121,MARKET PLACE / BEXLEYHEATH CLOCK TOWER,549273,175249,51.45602444,0.148764376,259,77784,EC06,0
11126,SHREWSBURY ROAD,541897,184210,51.53845213,0.046266754,233,53998,AG10,0
11127,THORNHILL ROAD,518257,165793,51.37835836,-0.300622965,193,54505,K903,0
11128,THORNHILL ROAD,518253,165838,51.37876369,-0.300665437,13,77520,K902,0
1113,SHACKLEWELL LANE,533565,185368,51.55089291,-0.073372274,182,51563,D602,0
11133,LAKESIDE WAY,518957,185728,51.55739853,-0.283857736,200,55435,RQ01,0
11134,WEMBLEY ARENA,519012,185896,51.55889697,-0.283007781,25,75070,RQ02,0
11135,EDGWARE ROAD / THE HYDE,521382,188696,51.58355878,-0.247865158,68,75203,R105,0
11136,EDGWARE ROAD / THE HYDE,521433,188702,51.58360172,-0.247127274,243,76333,R105,0
11137,RUVIGNY GARDENS,523794,175765,51.46680886,-0.217611228,107,49026,5S06,0
11138,RUVIGNY GARDENS,523839,175748,51.46664621,-0.216969611,277,59264,5S06,0
11139,FESTING ROAD,523499,175863,51.46775417,-0.221822194,110,58460,5R01,0
1114,GREENWOOD ROAD,534346,184772,51.54535103,-0.062341174,92,53056,D308,0
11140,FESTING ROAD,523557,175832,51.46746287,-0.220998363,290,54324,5R01,0
11141,COMMONDALE,523194,175874,51.46791954,-0.22620758,88,48797,5R02,0
11142,COMMONDALE,523246,175867,51.46784529,-0.225461692,265,53354,5R02,0
11143,PUTNEY BRIDGE ROAD,524078,175451,51.46392436,-0.213634561,24,56061,5S03,0
11144,PUTNEY EXCHANGE,524026,175274,51.46234485,-0.214444927,200,52714,5S03,0
11145,SHEFFIELD TERRACE,525404,180122,51.50561527,-0.192894888,346,48259,7A05,0
11146,SHEFFIELD TERRACE,525400,180205,51.50636216,-0.192922979,170,47980,7A05,0
11148,GLOUCESTER ROAD STATION <>,526286,178805,51.49358167,-0.180663423,158,53044,7B03,0
11149,PALACE GATE,526133,179622,51.50095901,-0.182574306,357,76336,7A10,0
1115,GREENWOOD ROAD,534305,184764,51.5452889,-0.062935203,275,76984,D308,0
11150,PALACE GATE,526146,179612,51.50086623,-0.18239067,177,52348,7A10,0
11151,STANHOPE GARDENS,526465,178774,51.49326302,-0.178097175,75,50750,7C07,0
11152,STANHOPE GARDENS,526501,178769,51.49321003,-0.17758062,258,73670,7C07,0
11154,ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP,526888,178445,51.4902112,-0.172124904,44,56886,7C04,0
11155,CHELSEA AND WESTMINSTER HOSPITAL,526294,177810,51.48463683,-0.180904277,50,48050,7F16,0
11156,HORTENSIA ROAD,525994,177482,51.48175569,-0.185340092,30,48434,7F14,0
1116,STOKE NEWINGTON STATION #,533660,186860,51.56427949,-0.071435515,179,47134,DA05,0
